scenario_name,noise_std,missing_ratio,rmse_noisy,rmse_kalman,rmse_regression
noise_1.5_missing_0.00,1.5,0.0,2.1090687862463646,1.4736743592877035,1.4825256438187666
noise_1.5_missing_0.10,1.5,0.1,2.24410009807167,2.3663742124684264,2.371300115781595
noise_1.5_missing_0.25,1.5,0.25,2.216047241778643,3.6463363671095,3.6962252251782277
noise_3.0_missing_0.00,3.0,0.0,4.237042746184592,2.2371372957155886,2.2491907892249015
noise_3.0_missing_0.10,3.0,0.1,4.167602610237098,3.613201592591157,3.5920524255779336
noise_3.0_missing_0.25,3.0,0.25,4.162779934261097,3.223718470301675,3.2869381019120087
noise_6.0_missing_0.00,6.0,0.0,8.48983310121685,3.7585217077356172,3.7501679066616487
noise_6.0_missing_0.10,6.0,0.1,8.506724762897495,4.998975090817738,4.836241247037262
noise_6.0_missing_0.25,6.0,0.25,8.03345304393684,5.886799095289179,5.755436588626258
